"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"6022","The Salon Spa Academy",3,"8426","4945","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6023","Trend Setters School of Cosmetology",3,"3506","2530","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9833","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6024","Academy of Hair Design-Springfield",3,"4569","4240","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7917","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6025","Corinth Academy of Cosmetology",3,"3287","1478","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6026","Southeastern Institute-Charlotte",3,"11343","2203","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","NULL","NULL","NULL"
"6027","Gentle Healing School of Massage",3,"14362","3296","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6028","Yeshivas Be'er Yitzchok",2,"4940","4640","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6029","Yeshiva Toras Chaim",2,"14523","6944","0.0175","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6030","Talmudical Seminary of Bobov",2,"8646","1982","0.4848","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6031","New York Methodist Hospital Center for Allied Health Education",2,"25579","7262","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","8000","NULL","NULL","NULL"
"6032","Monroe 2 Orleans BOCES-Center for Workforce Development",1,"2908","5808","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","3849","3861","NULL","NULL","NULL"
"6033","Aveda Fredric's Institute-Cincinnati",3,"10796","5985","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9691","NULL","NULL","NULL"
"6034","MyComputerCareer.com-Columbus",3,"18980","4468","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9234","9235","9233","NULL","NULL","NULL"
"6035","CDE Career Institute",3,"7031","3221","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6036","Instituto Educativo Premier",3,"6834","2655","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6037","Charleston School of Law",3,"36857","13541","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6038","Elite College of Cosmetology",3,"2888","3657","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6039","Memphis Institute of Barbering",3,"6446","6129","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6040","Manuel and Theresa's School of Hair Design-Bryan",3,"3136","2735","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6041","Southwest University at El Paso",3,"11442","1501","1","0.5","0.7647","NULL","NULL","NULL","NULL","NULL","NULL","11250","11250","10944","NULL","NULL","NULL"
"6042","Paul Mitchell the School-Austin",3,"8917","3292","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7917","9833","9833","NULL","NULL","NULL"
"6043","Aveda Institute-Provo",3,"4187","6529","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10555","10555","10555","NULL","NULL","NULL"
"6044","Dixie Applied Technology College",1,"2078","8656","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6045","Dominion School of Hair Design",3,"3968","3327","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6046","Victoria's Academy of Cosmetology",3,"6038","3101","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6047","Inland Massage Institute",3,"6566","494","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6048","Sunnyside Beauty Academy",3,"13237","1833","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6049","Wisconsin Academy",3,"7836","4249","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6050","The Art Institute of Pittsburgh-Online Division",3,"10851","2509","0.105","0.0769","0.1364","0","0.1429","0.4","NULL","0","0.0606","8400","13289.5","13500","32300","37500","38900"
"6051","University of South Florida-Sarasota-Manatee",1,"5614","6007","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15777.5","17717","15775","43500","45500","47500"
"6052","Brown Mackie College-Indianapolis",3,"10936","4294","0.4565","0.212","0","NULL","0.5","NULL","NULL","NULL","0","11093.5","14326","13000","27700","PrivacySuppressed","PrivacySuppressed"
