"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"6097","Harris School of Business-Hamilton Campus",3,"17950","3926","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7915","7916.5","7389","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6098","Empire Beauty School-Eden Prairie",3,"8530","8591","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7917","9164","8907","25400","30400","26500"
"6099","Ohio Business College-Hilliard",3,"11495","4559","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10000","10000","9500","21600","PrivacySuppressed","PrivacySuppressed"
"6100","The Ohio Media School-Columbus",3,"13725","3289","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","5500","29400","30700","43700"
"6101","Ohio Technical College-PowerSport Institute",3,"71583","21433","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13000","12334","12000","29900","38600","44500"
"6102","Toledo Restaurant Training Center",2,"2404","979","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6103","Dade Medical College-Miami Lakes",3,"13284","6143","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16050","19312","21385","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6104","The King’s College",2,"12980","12346","0.5577","NULL","0.5","0.25","NULL","NULL","NULL","1","0.375","11500","19250","19500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6105","Chamberlain College of Nursing-Illinois",3,"16748","2306","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18750","18750","18750","44200","60300","65500"
"6106","Chamberlain College of Nursing-Ohio",3,"18862","6633","0.3636","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","18750","18750","18750","44200","60300","65500"
"6107","Chamberlain College of Nursing-Arizona",3,"18538","5111","0.4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18750","18750","18750","44200","60300","65500"
